Employee_Id,Year_Month,Performance_Rating,Training_Hours,Overtime_Hours,Absenteeism_Days,Promotion_Flag,Salary_Increase_Flag,Monthly_Bonus,Benefits_Cost,Employee_Satisfaction,Engagement_Index,Manager_Evaluation
EMP000022,2024-12,4.1,4,10,1,FALSE,FALSE,170.21,836.63,8.5,8.9,3.5
EMP000023,2024-12,3.61,2,12,1,FALSE,FALSE,97.08,642.43,6,5.8,3.7
EMP000024,2024-12,4.31,1,2,0,FALSE,FALSE,176.37,325.29,5,5.8,4.4
EMP000025,2024-12,4.22,1,9,0,FALSE,FALSE,227.61,886.19,7.6,6.7,4.1
EMP000027,2024-12,4.16,3,10,1,FALSE,FALSE,422.78,969.29,8.4,7.8,4
EMP000028,2024-12,3.78,6,27,0,FALSE,FALSE,804.57,1665.44,5,5.8,4
EMP000029,2024-12,3.92,1,8,1,FALSE,FALSE,126.29,299.29,8.4,8.7,3.9
EMP000030,2024-12,4.31,2,13,2,FALSE,FALSE,174.76,835.15,8.3,9.2,4.2
EMP000032,2024-12,4.53,7,18,0,FALSE,FALSE,1207.53,1706.33,7.6,7.7,4.5
EMP000033,2024-12,4.2,3,20,1,FALSE,FALSE,765.21,1274.79,7.2,7.9,3.9
EMP000034,2024-12,3.87,2,16,2,FALSE,FALSE,290.23,933.87,7.3,8,4.2
EMP000035,2024-12,3.96,4,7,1,FALSE,FALSE,415.6,930.4,9.7,9.3,4.2
EMP000036,2024-12,4.03,4,12,1,FALSE,FALSE,334.13,914.33,6.7,7.3,4.2
EMP000037,2024-12,3.62,0,8,2,FALSE,FALSE,116.5,296.96,7.9,6.9,4
EMP000038,2024-12,4.5,5,9,0,FALSE,FALSE,1119.59,1502.57,6.1,8.6,4.4
EMP000039,2024-12,4.57,8,7,0,FALSE,TRUE,413.24,430.55,9.4,10,4.7
EMP000042,2024-12,4.15,2,12,1,FALSE,FALSE,503.47,1080.73,7.8,7.2,4.2
EMP000043,2024-12,4.16,1,17,0,FALSE,FALSE,90.07,543.06,7.2,6.8,4
EMP000045,2024-12,3.81,2,9,0,FALSE,FALSE,117.69,703.58,8.7,7.6,3.9
EMP000046,2024-12,3.81,0,10,1,FALSE,FALSE,227.05,910.3,5.1,5.5,3.5
EMP000047,2024-12,3.78,3,23,0,FALSE,FALSE,195.28,904.63,6,5,3.1
EMP000048,2024-12,3.15,4,10,2,FALSE,FALSE,92.12,669.6,6.6,6.6,3.2
EMP000049,2024-12,3.7,1,2,1,FALSE,FALSE,110.4,309.83,7,8,3.7
EMP000050,2024-12,4.54,5,18,0,FALSE,FALSE,1043,1599.64,7.3,7.5,4
EMP000051,2024-12,3.67,1,8,1,FALSE,FALSE,406.17,1151.17,5.6,5.8,3.9
EMP000052,2024-12,4.41,7,11,0,FALSE,FALSE,1114.9,774.38,8.1,9.9,4.7
EMP000053,2024-12,4.4,2,13,0,FALSE,FALSE,552.93,1198.82,9.2,9.3,4.2
EMP000054,2024-12,4.22,2,4,0,FALSE,FALSE,219.9,801.64,7.2,7.4,4.6
EMP000055,2024-12,3.64,2,8,0,FALSE,FALSE,151.15,778.96,6.6,6.6,4.1
EMP000056,2024-12,4.74,9,8,0,FALSE,FALSE,622.83,553.12,9.4,9.1,4.1
EMP000057,2024-12,3.63,1,2,0,FALSE,FALSE,106.77,324.02,5.7,4.7,3.8
EMP000059,2024-12,4.36,3,6,0,FALSE,FALSE,52.83,205.74,7.1,6.3,4.6
EMP000060,2024-12,3.66,0,11,1,FALSE,FALSE,171.3,838.17,5.7,5.1,3.3
EMP000062,2024-12,4.29,2,17,1,FALSE,FALSE,338.48,927.54,7.5,7.7,4.6
EMP000063,2024-12,3.16,1,14,0,FALSE,FALSE,75.44,566.25,7.5,6.9,3.6
EMP000064,2024-12,3.85,0,5,1,FALSE,FALSE,79.49,251.48,7.4,7.2,3.7
EMP000065,2024-12,3.38,2,15,1,FALSE,FALSE,77.11,673.37,6.9,8.3,3.3
EMP000066,2024-12,3.92,1,15,1,FALSE,FALSE,330.29,892.61,5.8,6.6,3.3
EMP000067,2024-12,4.08,9,21,0,FALSE,FALSE,932.59,1527.34,6.3,7.7,3.7
EMP000068,2024-12,3.79,2,15,3,FALSE,FALSE,169.78,801.1,8.9,7.9,3.5
EMP000070,2024-12,4.37,4,3,1,FALSE,FALSE,592.21,626.3,8.7,8.8,4.2
EMP000072,2024-12,4,9,21,1,FALSE,FALSE,849.02,1723.58,7.6,8.6,3.9
EMP000073,2024-12,2.75,4,15,0,FALSE,FALSE,143.29,821.7,6.2,5.5,2.3
EMP000074,2024-12,4.04,0,17,0,FALSE,FALSE,179.24,791.78,8.4,9.2,4.1
EMP000075,2024-12,4.47,6,14,1,FALSE,FALSE,460.55,1202.63,10,9.8,4.3
EMP000076,2024-12,3.54,1,16,1,FALSE,FALSE,158.35,747.11,6.6,7.1,4.2
EMP000077,2024-12,4.48,2,1,2,FALSE,FALSE,183.64,82.53,8.9,8.2,4.8
EMP000079,2024-12,4.28,1,3,1,FALSE,FALSE,339.58,440.25,7.5,6.4,4.3
EMP000081,2024-12,3.54,3,3,0,FALSE,FALSE,66.33,257.37,9.7,10,3.4
EMP000082,2024-12,3.88,2,12,0,FALSE,FALSE,130.07,696.31,9.1,7.7,3.4
EMP000083,2024-12,3.19,2,2,1,FALSE,FALSE,86.68,325.67,5.4,5.6,3
EMP000084,2024-12,3.71,3,10,2,FALSE,FALSE,104.48,649.71,7.6,7.1,3.7
EMP000085,2024-12,4.6,10,13,2,FALSE,FALSE,1078.7,1657.06,8.4,8,5
EMP000086,2024-12,4.8,9,22,1,FALSE,TRUE,3316.4,2860.57,10,10,5
EMP000088,2024-12,3.59,1,13,2,FALSE,FALSE,83.12,723.64,6.1,5,3.1
EMP000090,2024-12,3.78,0,19,2,FALSE,FALSE,148.89,843.93,7.1,6.4,4
EMP000091,2024-12,4.24,5,19,0,FALSE,FALSE,887.57,1497.55,6.9,7.4,4.2
EMP000092,2024-12,3.79,1,6,0,FALSE,FALSE,260.87,422.57,8.7,8.4,4
EMP000093,2024-12,3.97,3,18,0,FALSE,FALSE,219.76,843.12,8.4,7.2,4.1
EMP000094,2024-12,3.74,2,13,0,FALSE,FALSE,90.35,620.82,6,6.2,3.7
EMP000095,2024-12,4.28,5,16,0,FALSE,FALSE,750.54,1447.31,8.8,8.9,4.6
EMP000096,2024-12,4.24,4,11,0,FALSE,TRUE,354.05,904.47,8.1,7,5
EMP000097,2024-12,4.21,5,15,1,FALSE,FALSE,784.81,1165.57,6.5,5.8,3.9
EMP000098,2024-12,4.29,3,4,0,FALSE,FALSE,219.4,397.65,7,7.8,4.6
EMP000099,2024-12,4.12,6,20,0,FALSE,FALSE,666.08,1300.27,7.5,7.3,4.2
EMP000100,2024-12,3.44,1,5,1,FALSE,FALSE,109.11,288.57,6.3,6.1,3.7
EMP000103,2024-12,4.22,8,17,1,FALSE,FALSE,1057.95,1540.56,7.6,6.2,4.1
EMP000104,2024-12,4.33,5,1,1,TRUE,FALSE,329.57,95.12,7.1,8,4.1
EMP000105,2024-12,4.58,5,11,0,FALSE,FALSE,613.34,470.58,8.4,8.9,4.5
EMP000106,2024-12,3.05,3,12,1,FALSE,FALSE,63.71,556.2,8.3,8.5,3.1
EMP000107,2024-12,4.03,6,14,1,FALSE,FALSE,224.96,830.67,6.9,7,3.9
EMP000109,2024-12,4.14,6,21,0,FALSE,FALSE,985.72,1762.48,8.8,8.7,4.2
EMP000111,2024-12,4,2,5,2,FALSE,FALSE,51.74,237.12,6.9,7.5,3.9
EMP000112,2024-12,4.12,2,3,1,FALSE,FALSE,320.97,422.39,7,6.4,4.4
EMP000113,2024-12,4.37,8,24,1,FALSE,FALSE,1090.79,1756.57,8.2,9.1,4.8
EMP000114,2024-12,3.49,1,7,0,FALSE,FALSE,61.27,237.57,8.7,9.5,3.3
EMP000115,2024-12,3.54,0,9,1,FALSE,FALSE,101.67,665.72,6.9,7.9,3.9
EMP000116,2024-12,4.31,6,13,0,FALSE,FALSE,999.93,1547.44,4.8,3.7,4.4
EMP000117,2024-12,4,0,15,0,FALSE,FALSE,366.27,1092.56,7.8,7.7,4
EMP000118,2024-12,4.74,3,11,0,FALSE,FALSE,197.82,668.72,9.9,9.8,4.7
EMP000120,2024-12,3.28,1,15,2,FALSE,FALSE,182.64,808.9,10,10,3.2
EMP000121,2024-12,3.71,1,15,0,FALSE,FALSE,320.93,1114.24,7.2,7.1,4.1
EMP000122,2024-12,4.11,9,3,2,FALSE,FALSE,377.44,103.51,7.4,7.1,4.4
EMP000123,2024-12,3.85,4,10,1,FALSE,FALSE,214.79,866.24,9.5,10,4.2
EMP000124,2024-12,3.69,0,8,1,FALSE,FALSE,186.55,736.24,7.4,8.1,3.8
EMP000127,2024-12,3.59,4,12,0,FALSE,FALSE,159.45,847.99,6.6,6,3.7
EMP000128,2024-12,4.05,4,12,1,FALSE,FALSE,439.32,1113.11,6.3,6.2,3.7
EMP000130,2024-12,3.92,3,13,2,FALSE,FALSE,408.11,922.89,6.4,5.3,4.1
EMP000131,2024-12,4.5,6,14,0,FALSE,FALSE,843.56,1246.94,8.6,7.7,4.2
EMP000132,2024-12,3.76,1,11,0,FALSE,FALSE,169.53,849.29,7.3,6.4,3.3
EMP000133,2024-12,3.6,2,16,0,FALSE,FALSE,80.2,640.22,8.3,8.7,3.5
EMP000134,2024-12,4.04,1,10,0,FALSE,FALSE,168.8,752.66,7.8,9.1,3.7
EMP000135,2024-12,3.8,3,11,1,FALSE,FALSE,94.09,610.94,7.6,6.4,3.8
EMP000136,2024-12,3.63,2,15,1,FALSE,FALSE,74.11,533.61,7.6,7.2,3.9
EMP000137,2024-12,3.33,3,8,0,FALSE,FALSE,83.57,557.87,7.7,7.8,3.5
EMP000138,2024-12,4.15,2,15,0,FALSE,FALSE,116.25,697.5,9.1,9.2,4.3
EMP000139,2024-12,3.61,2,16,0,FALSE,FALSE,112.77,669.65,7.2,8,2.8
EMP000140,2024-12,3.75,1,14,1,FALSE,FALSE,172.69,669.95,7,6.8,4.1
EMP000141,2024-12,3.88,2,9,1,FALSE,FALSE,410.58,996.75,5.9,6.7,4
EMP000142,2024-12,3.6,0,2,0,FALSE,FALSE,71.57,249.96,7.1,5.7,3.6
EMP000143,2024-12,4.45,6,10,0,FALSE,FALSE,509.25,499.43,7.8,7.7,4.8
EMP000145,2024-12,3.27,1,12,1,FALSE,FALSE,135.38,815.52,6.8,7.1,3
EMP000146,2024-12,4.01,3,4,0,FALSE,FALSE,225.89,366.56,8.5,9.6,3.3
EMP000147,2024-12,4.51,5,16,0,FALSE,FALSE,1184.04,1522.01,8.6,9.4,4.3
EMP000148,2024-12,4.11,8,17,1,FALSE,FALSE,867.85,1489.64,8.8,7.9,3.8
EMP000149,2024-12,3.6,1,17,0,FALSE,FALSE,173.26,904.8,6,5.8,3.1
EMP000150,2024-12,4.25,4,8,1,FALSE,FALSE,576.34,581.97,10,9.8,4
EMP000151,2024-12,4.09,6,19,0,FALSE,FALSE,867.66,1463.56,6.5,6.4,3.4
EMP000152,2024-12,3.64,2,5,0,FALSE,FALSE,107.31,294.41,5.3,4.8,3.8
EMP000153,2024-12,3.39,2,2,2,FALSE,FALSE,81.24,274.65,5.5,6.6,3.8
EMP000154,2024-12,4.66,5,7,1,FALSE,FALSE,758.09,565.14,7.7,6.6,4.5
EMP000157,2024-12,3.85,2,16,0,FALSE,FALSE,399.52,1135.78,7.4,7.1,3.8
EMP000159,2024-12,3.76,0,14,1,FALSE,FALSE,190.41,894.11,6.9,7.8,4.2
EMP000160,2024-12,3.82,0,16,0,FALSE,FALSE,383.37,1094.68,8.7,8.5,3.8
EMP000161,2024-12,3.88,1,6,1,FALSE,FALSE,210.78,373.75,9.9,9.7,3.5
EMP000162,2024-12,4.23,6,5,2,FALSE,FALSE,466.21,448.25,7.5,7.6,4.7
EMP000163,2024-12,3.5,2,13,1,FALSE,TRUE,306.4,968.58,5.2,4.1,3.8
EMP000165,2024-12,4.28,8,23,0,FALSE,FALSE,778.72,1308.43,8.8,9.5,4.7
EMP000166,2024-12,4.54,2,10,0,FALSE,FALSE,1167.99,1526.16,9.1,10,4.6
EMP000167,2024-12,3.96,2,17,2,FALSE,FALSE,147.49,684.99,6.8,6.8,3.6
EMP000170,2024-12,3.5,1,11,1,FALSE,FALSE,133.81,788.88,7.4,6.7,3.4
EMP000171,2024-12,3.49,4,1,0,FALSE,FALSE,65.09,249.16,7.3,9,3.6
EMP000172,2024-12,3.48,4,20,0,FALSE,FALSE,134,751.26,7.2,8.2,3.6
EMP000173,2024-12,4.21,4,10,1,FALSE,FALSE,353.18,978.84,5.4,4.8,3.8
EMP000174,2024-12,4.1,1,6,1,FALSE,FALSE,96.49,248.14,8.2,8.5,3.7
EMP000175,2024-12,4.49,2,10,0,FALSE,FALSE,371.32,415.34,10,9.8,3.8
EMP000176,2024-12,4.25,1,11,0,FALSE,FALSE,558.58,596.79,6.4,6.8,4.2
EMP000177,2024-12,4.23,1,15,0,FALSE,FALSE,393.11,1005.48,6.1,5.9,3.7
EMP000178,2024-12,3.64,0,12,0,FALSE,FALSE,330.75,922.35,7.7,9.1,3.5
EMP000179,2024-12,3.39,4,14,3,FALSE,FALSE,116.03,675.66,7.7,7,3.1
EMP000180,2024-12,4.43,3,5,0,FALSE,FALSE,338.33,437.47,7.5,8.2,4.3
EMP000182,2024-12,3.51,2,3,1,FALSE,FALSE,25.28,41.97,7.7,8,3.6
EMP000183,2024-12,3.6,2,17,1,FALSE,FALSE,140.36,820.28,5.9,5.2,3.6
EMP000184,2024-12,4.09,0,13,0,FALSE,TRUE,204.3,904.26,7.7,7.4,4
EMP000185,2024-12,4.61,4,5,1,FALSE,FALSE,444.96,426.82,8.3,7.9,5
EMP000186,2024-12,4.36,6,9,1,FALSE,FALSE,506.53,418.16,6.5,5.8,4.2
EMP000187,2024-12,4.04,3,28,1,FALSE,FALSE,842.42,1515.64,6.9,7.6,4.2
EMP000188,2024-12,4.4,3,15,0,FALSE,TRUE,438.87,1153.85,6.2,6.8,4.7
EMP000189,2024-12,4.42,6,3,1,FALSE,FALSE,295.06,101.47,8.1,8,4.9
EMP000190,2024-12,4.17,1,13,0,FALSE,FALSE,88.07,696.65,6.2,4.9,3.9
EMP000191,2024-12,3.16,3,15,1,FALSE,FALSE,85.22,631.58,5.8,4.9,2.4
EMP000192,2024-12,4.29,7,17,0,FALSE,FALSE,748.3,1392.44,8,7.5,4.2
EMP000194,2024-12,4.38,2,12,0,FALSE,FALSE,418.43,433.26,7.5,6.8,4.5
EMP000195,2024-12,3.85,0,4,0,FALSE,FALSE,103.5,302.02,8.7,7.9,3.7
EMP000197,2024-12,4,3,18,0,FALSE,FALSE,98.03,697,9.2,8.5,3.3
EMP000198,2024-12,3.44,5,3,3,FALSE,FALSE,56.74,216.32,8.2,7.6,3.5
EMP000199,2024-12,4.63,5,19,1,FALSE,FALSE,678.1,1250.12,7.4,7.3,4.5
EMP000202,2024-12,4.01,2,11,0,FALSE,FALSE,163.48,766.98,6.4,6.2,3.5
EMP000203,2024-12,3.59,2,13,1,FALSE,FALSE,193.35,813.3,6.2,4.9,3.6
EMP000205,2024-12,3.9,3,19,0,FALSE,FALSE,99.56,673.87,8.1,7.7,4.2
EMP000206,2024-12,3.77,2,11,2,FALSE,FALSE,159.88,813.74,5.3,5.2,4.2
EMP000207,2024-12,3.73,3,14,0,FALSE,FALSE,168.42,676,5.6,5.8,3.5
EMP000208,2024-12,4.35,2,11,0,FALSE,FALSE,391.15,1070.92,6.8,5.7,4.6
EMP000209,2024-12,3.99,0,11,0,FALSE,FALSE,375.24,1177.47,6.3,6,4
EMP000210,2024-12,3.98,3,6,1,FALSE,FALSE,206.13,349.57,7.7,7.6,4.5
EMP000211,2024-12,4.56,3,21,0,FALSE,FALSE,766.31,1277.52,8.1,8.4,4.6
EMP000212,2024-12,3.81,4,14,0,FALSE,FALSE,395.33,1003.17,4.9,4.7,3.6
EMP000213,2024-12,4.02,0,8,1,FALSE,FALSE,439.86,1146.18,6,6.8,3.9
EMP000215,2024-12,4.01,1,3,1,FALSE,FALSE,180,352.94,7.7,8.9,4.6
EMP000216,2024-12,3.91,1,7,2,FALSE,FALSE,99.6,298.84,6,5.1,4.2
EMP000217,2024-12,3.77,1,5,0,FALSE,FALSE,135.43,732.19,8.2,7.8,3.3
EMP000218,2024-12,4.59,1,3,0,FALSE,FALSE,257.84,336.41,8.6,9.4,4.4
EMP000220,2024-12,4.12,0,16,1,FALSE,FALSE,379.59,1037.68,6.5,7.5,4.4
EMP000221,2024-12,2.81,0,16,0,FALSE,FALSE,72.56,549.82,4.3,3.7,2.1
EMP000222,2024-12,4.49,3,4,1,FALSE,FALSE,233.84,379.18,8.6,9.1,4.5
EMP000223,2024-12,3.67,7,10,0,FALSE,FALSE,145.02,680.85,6.8,6.4,3.5
EMP000224,2024-12,4.39,4,8,1,FALSE,FALSE,616.51,565.01,6.7,6.8,4.7
EMP000225,2024-12,4.53,5,14,0,FALSE,FALSE,581.94,1183.74,9,9.7,4.4
EMP000227,2024-12,4.33,2,8,0,FALSE,FALSE,496.11,1165.25,8.1,7.3,4.3
EMP000228,2024-12,3.95,1,8,0,FALSE,FALSE,100.89,611.56,7.3,8.3,3.5
EMP000229,2024-12,3.91,2,13,1,FALSE,FALSE,163.06,673.06,8.4,6.5,4.1
EMP000230,2024-12,3.8,1,10,0,FALSE,TRUE,95.97,646.52,7.9,8.4,4
EMP000232,2024-12,4.37,7,17,0,FALSE,FALSE,2916.38,2649.77,8.4,9.2,4.3
EMP000233,2024-12,3.91,6,1,1,FALSE,FALSE,123.87,301.51,9.3,9.8,4.2
EMP000234,2024-12,4.22,8,18,0,FALSE,FALSE,809.72,1317.52,8.1,7.5,4.4
EMP000235,2024-12,3.72,1,5,0,FALSE,TRUE,121.23,317.33,5.2,3.9,3.5
EMP000236,2024-12,3.28,1,13,1,FALSE,FALSE,137.11,736.96,7.1,7.3,3.2
EMP000237,2024-12,3.97,2,2,1,FALSE,FALSE,81.62,71.84,6.7,7,3.8
EMP000238,2024-12,3.78,0,13,2,FALSE,FALSE,75.37,646.47,6.6,7.7,3.7
EMP000239,2024-12,3.84,3,5,0,FALSE,FALSE,95.49,279.27,7.9,8.9,3.3
EMP000240,2024-12,4.17,1,29,0,FALSE,FALSE,883.12,1378.16,7.9,8.2,3.5
EMP000241,2024-12,3.43,0,13,1,FALSE,FALSE,348.04,1030.85,6.7,8.4,3.4
EMP000243,2024-12,4.39,1,4,0,FALSE,FALSE,150.04,328.12,7.2,6.6,4.3
EMP000244,2024-12,3.99,1,7,1,FALSE,FALSE,400.86,944.8,9.7,10,3.8
EMP000245,2024-12,4,4,9,1,FALSE,FALSE,148.71,679.57,8.2,7.7,4.4
EMP000246,2024-12,3.96,1,11,0,FALSE,FALSE,489.42,1224.13,8.4,8.4,4.2
EMP000247,2024-12,3.17,1,13,0,FALSE,FALSE,69.01,560.65,5,4.7,2.5
EMP000248,2024-12,3.83,1,10,0,FALSE,FALSE,417.48,1142.23,7.4,6.7,3.9
EMP000249,2024-12,3.22,2,15,0,FALSE,FALSE,64.82,555.69,5.6,5.4,3
EMP000252,2024-12,3.67,1,11,3,FALSE,FALSE,308.96,1085.78,5.3,5.8,3.9
EMP000253,2024-12,3.96,2,13,1,FALSE,FALSE,372.29,1138.89,7.1,7.3,4
EMP000255,2024-12,3.8,3,12,0,FALSE,FALSE,170.91,882.43,8.5,9.6,3.5
EMP000256,2024-12,4.08,2,14,1,FALSE,FALSE,170.84,672.03,7,5.9,4.3
EMP000257,2024-12,3.3,3,4,0,FALSE,FALSE,54.95,212.51,6.3,6.2,3.2
EMP000258,2024-12,3.69,3,5,0,FALSE,FALSE,94.91,316.15,8.2,9,4.1
EMP000260,2024-12,3.73,0,16,0,FALSE,FALSE,301.71,975.7,8.9,8.4,4
EMP000261,2024-12,4.74,1,14,0,FALSE,FALSE,315.47,909.54,7.1,6.9,5
EMP000263,2024-12,3.64,1,3,1,FALSE,FALSE,95.88,277.6,8.1,7.5,3.8
EMP000265,2024-12,3.2,1,13,0,FALSE,FALSE,152.16,814.78,8.1,8,3.4
EMP000267,2024-12,3.87,1,13,0,FALSE,FALSE,173.88,884.71,5.7,6,4
EMP000268,2024-12,3.72,2,2,1,FALSE,FALSE,96.17,45.1,7.6,7.5,3.7
EMP000269,2024-12,3.79,5,12,0,FALSE,FALSE,219.3,842.52,3.8,3.5,4.5
EMP000270,2024-12,3.75,0,15,0,FALSE,FALSE,153.11,681.88,8.2,10,3.7
EMP000271,2024-12,2.95,1,13,2,FALSE,FALSE,69.93,684.69,7.3,8,3.1
EMP000272,2024-12,4,3,4,0,FALSE,FALSE,198.91,348.74,7,5.7,3.9
EMP000274,2024-12,3.96,1,4,1,FALSE,FALSE,59.9,247.09,7.9,7.8,3.1
EMP000276,2024-12,3.53,5,13,2,FALSE,FALSE,159.94,711.56,4.8,4,3.3
EMP000277,2024-12,3.97,2,11,0,FALSE,FALSE,179.61,730.1,9.1,9,3.8
EMP000278,2024-12,3.83,1,12,0,FALSE,FALSE,94.17,606.66,7.2,7,4
EMP000279,2024-12,3.11,3,16,0,FALSE,FALSE,69.44,544.64,6,5.4,3.3
EMP000280,2024-12,3.7,3,14,0,FALSE,FALSE,436.93,1085.25,7,6.1,4.3
EMP000281,2024-12,4.11,1,14,0,FALSE,FALSE,525.71,1171.83,6.8,5.6,4
EMP000282,2024-12,4.17,4,20,0,FALSE,FALSE,1222.81,1709.44,6.6,5.8,3.9
EMP000283,2024-12,4.26,1,1,1,FALSE,FALSE,178.75,70.75,7.8,8.4,4
EMP000284,2024-12,3.87,3,7,1,FALSE,FALSE,174.85,844.53,6.8,5.6,4.4
EMP000285,2024-12,3.93,6,12,0,FALSE,FALSE,324.32,1034.78,9.5,7.3,4.1
EMP000286,2024-12,4.31,3,14,0,FALSE,FALSE,428.55,1153.35,9.8,10,4.7
EMP000287,2024-12,4.58,3,7,1,FALSE,FALSE,444.93,447.71,5.9,6.5,4.9
EMP000288,2024-12,4.35,4,17,0,FALSE,FALSE,1034.1,1462.75,7.7,7.6,4.5
EMP000290,2024-12,4.06,4,9,2,FALSE,FALSE,127.3,335.87,9.4,9.6,3.9
EMP000291,2024-12,3.84,1,11,1,FALSE,FALSE,381.67,1196.8,8.4,8.7,3.6
EMP000292,2024-12,3.27,0,10,1,FALSE,FALSE,45.12,206.18,6.1,4.9,3.4
EMP000294,2024-12,3.03,1,15,0,FALSE,FALSE,164.41,857.92,8.1,7,3.1
EMP000295,2024-12,3.06,0,8,3,FALSE,FALSE,77.25,678.49,5.6,5,3
EMP000296,2024-12,3.94,2,14,1,FALSE,FALSE,400.75,1072.88,7.4,6.7,3.5
EMP000298,2024-12,3.99,1,15,3,FALSE,FALSE,173.07,886.11,7.2,7,3.9
EMP000299,2024-12,4.09,5,9,0,FALSE,FALSE,496.15,514.56,9.2,8.9,4.2
EMP000300,2024-12,4.89,6,14,0,FALSE,FALSE,1401.08,1721.65,6.6,7.5,5
EMP000301,2024-12,4.19,2,23,0,FALSE,FALSE,1050.57,1577.51,9.4,10,4.2
EMP000302,2024-12,3.93,3,11,0,FALSE,FALSE,205.86,909.7,8.2,7.8,3.8
EMP000303,2024-12,4.56,0,5,0,FALSE,FALSE,307.01,389.5,8.1,7.9,4.7
EMP000304,2024-12,3.93,5,4,0,FALSE,FALSE,120.87,74.42,8.7,8.1,3.5
EMP000305,2024-12,3.92,0,9,0,FALSE,FALSE,75.72,594.52,7.4,6.4,4.2
EMP000306,2024-12,4.12,3,8,0,FALSE,FALSE,448.37,521.52,7.7,9.1,4.2
EMP000307,2024-12,4.18,2,17,1,FALSE,FALSE,824.95,1433.07,7.6,8.4,4.2
EMP000308,2024-12,3.52,3,4,0,FALSE,FALSE,138.12,336.7,8.1,8.7,3.9
EMP000309,2024-12,4.34,2,27,0,FALSE,FALSE,1115.23,1609.36,8.6,9.2,4.5
EMP000310,2024-12,4.01,1,14,0,FALSE,FALSE,343.78,1067.69,7.7,8.8,3.9
EMP000311,2024-12,3.83,3,14,0,FALSE,FALSE,439.05,1014.57,9,9.2,4.3
EMP000312,2024-12,3.07,1,13,1,FALSE,FALSE,92.12,646.64,5.8,4.9,3.1
EMP000313,2024-12,4.17,2,11,2,FALSE,FALSE,446.98,1173.47,9.4,8.9,4
EMP000314,2024-12,4.45,1,6,0,FALSE,FALSE,455.73,1108.8,8.8,10,4.2
EMP000315,2024-12,3.99,2,12,0,FALSE,FALSE,87.41,717.64,9,9.7,4
EMP000316,2024-12,3.67,1,1,1,FALSE,FALSE,213.64,410.05,8.4,8,4
EMP000317,2024-12,2.79,2,10,1,FALSE,FALSE,73.72,710.54,5.3,5.5,2.8
EMP000319,2024-12,4.28,2,20,0,FALSE,FALSE,1195.81,1615.06,8.9,9.2,4.6
EMP000320,2024-12,3.71,1,0,1,FALSE,FALSE,62.69,53.75,8.1,7.9,3.6
EMP000321,2024-12,4.07,3,10,0,FALSE,FALSE,667.98,559.51,7,8.3,4
EMP000322,2024-12,4,2,14,0,FALSE,FALSE,169.1,790.06,8.6,8.6,4.5
EMP000323,2024-12,4.21,0,16,1,FALSE,FALSE,393.27,1225.81,7.1,5.8,4.1
EMP000324,2024-12,4.36,5,18,1,FALSE,FALSE,1357.32,1750.88,7.8,6.5,4.6
EMP000325,2024-12,4.37,4,11,2,FALSE,FALSE,392.5,414.05,7.9,7.8,4.6
EMP000327,2024-12,4.43,6,20,1,FALSE,FALSE,854.59,1510.59,8.8,8,4.2
EMP000328,2024-12,3.61,3,9,0,FALSE,FALSE,211.15,844.61,6.1,6.9,4
